Thomas Gardner,"$711,517 ","$963,509 "
Mario West,"$711,517 ","$963,509 "
Mario Chalmers,"$700,000 ","$947,913 "
Fred Jones,"$622,531 ","$843,007 "
Austin Croshere,"$601,436 ","$814,440 "
DeAndre Jordan,"$550,000 ","$744,789 "
Henry Walker,"$542,114 ","$734,110 "
Mike Taylor,"$500,000 ","$677,081 "
Darnell Jackson,"$450,000 ","$609,372 "
Chris Douglas-Roberts,"$442,411 ","$599,096 "
Nathan Jawai,"$442,114 ","$598,694 "
Bobby Brown,"$442,114 ","$598,694 "
Sun Yue,"$442,114 ","$598,694 "
Anthony Morrow,"$442,114 ","$598,694 "
Walter Sharpe,"$442,114 ","$598,694 "
Sonny Weems,"$442,114 ","$598,694 "
Sean Singletary,"$442,114 ","$598,694 "
Othello Hunter,"$442,114 ","$598,694 "
Rob Kurz,"$429,111 ","$581,085 "
Jermareo Davidson,"$422,725 ","$572,438 "
Eddie Gill,"$387,613 ","$524,890 "
Shaun Livingston,"$370,000 ","$501,040 "
Malik Hairston,"$351,091 ","$475,434 "
Paul Davis,"$328,416 ","$444,728 "
Hassan Adams,"$297,163 ","$402,406 "
Jawad Williams,"$244,463 ","$331,042 "
Dee Brown,"$238,567 ","$323,057 "
Anthony Tolliver,"$213,255 ","$288,781 "
Cartier Martin,"$200,252 ","$271,173 "
Trey Johnson,"$187,258 ","$253,577 "
Courtney Sims,"$184,648 ","$250,043 "
DeMarcus Nelson,"$182,047 ","$246,521 "
Steven Hill,"$148,238 ","$200,738 "
Blake Ahearn,"$125,562 ","$170,031 "
Linton Johnson,"$125,374 ","$169,776 "
Andre Brown,"$107,908 ","$146,124 "
Demetris Nichols,"$87,893 ","$119,021 "
Desmon Farmer,"$83,708 ","$113,354 "
Richard Hendrix,"$57,215 ","$77,478 "
Dwayne Jones,"$46,812 ","$63,391 "
